Name,Date,Time,Team A,Team B,Volume
Hurricanes vs. Flyers,2026-05-08,02:00:00,0.615,0.385,$227.2K
Canadiens vs. Sabres,2026-05-09,01:00:00,0.455,0.545,$13.1K
Golden Knights vs. Ducks,2026-05-09,03:30:00,0.505,0.495,$29.5K
Hurricanes vs. Flyers,2026-05-10,00:00:00,0.63,0.37,$5.9K
Avalanche vs. Wild,2026-05-10,03:00:00,0.545,0.455,$20.2K
Sabres vs. Canadiens,2026-05-11,01:00:00,0.495,0.505,$4.2K
Golden Knights vs. Ducks,2026-05-11,03:30:00,0.505,0.495,$742
